candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P20002937,2012,"TOLLEFSEN, KRISTEN",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00497354},,C00497354,SOPHIA THE LOGOS
P20002952,2012,"WRIGHTS, ROGER LEE",LIBERTARIAN PARTY,Challenger,P,21835.00,23058.00,190.00,{C00497529},2012-12-31 00:00:00,C00497529,WRIGHTS FOR PRESIDENT 2012
P20002986,2012,"GRISKIE, CHRISTIN NOEL",REPUBLICAN PARTY,Challenger,P,17507.00,2614.00,0.00,{C00497552},2012-06-13 00:00:00,C00497552,CPOWERS CAMPAIGN
P20003018,2012,"ENNIS, CRAIG EDWARD",REPUBLICAN PARTY,Challenger,P,0.00,0.00,115.00,{C00497826},2011-06-30 00:00:00,C00497826,FRIENDSOFCRAIGENNIS
P20003026,2012,"HOCKENSMITH, BRIAN KEITH",REPUBLICAN PARTY,Challenger,P,0.00,0.00,0.00,{C00497743},2011-12-31 00:00:00,C00497743,BRIAN HOCKENSMITH FOR PRESIDENT CAMPAIGN FUND
P20003034,2012,"MONTGOMERY, DAVID WAYNE",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00497750},,C00497750,DAVE MONTGOMERY FOR PRESIDENT
P20003042,2012,"LAX (MILLER), LEAH (LORETTA)",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00499194},,C00499194,COMMITTEE TO ELECT LORETTA MILLER
P20003067,2012,"HUNTSMAN, JON",REPUBLICAN PARTY,Challenger,P,9173365.13,9173365.13,0.00,{C00498444},2012-12-31 00:00:00,C00498444,JON HUNTSMAN FOR PRESIDENT INC.
P20003075,2012,"SIMS, PAUL DOUGLAS",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00498113},,C00498113,PAUL SIMS FOR PRESIDENT
P20003083,2012,"FREY, DAVID ROBT CDR USN RET",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00498147},,C00498147,DAVID ROBT FREY
P20003091,2012,"RHODES, GEORGE FREDRICK",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00501064},,C00501064,GEORGE RHODES FOR PRESIDENT
P20003109,2012,"MCCOTTER, THADDEUS G",REPUBLICAN PARTY,Challenger,P,550437.19,549822.09,615.10,{C00498220},2012-12-31 00:00:00,C00498220,MCCOTTER 2012
P20003117,2012,"SAVARIRAYAN, FRANCIS J",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00498246},,C00498246,FRANCIS J SAVARIRAYAN FOR PRESIDENT COMMITTEE
P20003133,2012,"GRAMMER, KENNETH BRYAN",INDEPENDENT,Challenger,P,50.00,33.00,17.00,{C00498642},2011-09-30 00:00:00,C00498642,KEN GRAMMER FOR PRESIDENT INC
P20003141,2012,"FERGUSON, JOHN GREEN",OTHER,Challenger,P,400.00,400.00,0.00,{C00498766},2012-06-30 00:00:00,C00498766,JOHN GREEN FERGUSON FOR USA PRESIDENT 2016
P20003158,2012,"STAINFIELD, TAMI L",UNKNOWN,Challenger,P,25037.82,20269.11,4768.71,{C00498824},2012-12-31 00:00:00,C00498824,TAMI STAINFIELD FOR PRESIDENT
P20003174,2012,"SPONHEIM, DAVID JON",OTHER,Challenger,P,4099.00,2570.00,1526.00,{C00499723},2012-12-31 00:00:00,C00499723,DAVID JON SPONHEIM FOR PRESIDENT
P20003182,2012,"AMMANN, AARON LEON",UNKNOWN,Challenger,P,0.0,0.0,0.0,{C00499830},,C00499830,AARON LEON AMMANN FOR PRESIDENT
P20003190,2012,"RIEKSE, MAX J",CITIZENS' PARTY,Challenger,P,0.0,0.0,0.0,{C00499855},,C00499855,COMMITTEE TO ELECT MAX RIEKSE
P20003208,2012,"REED, JILL ANN",NONE,Challenger,P,45681.52,48040.56,799.83,{C00499970},2012-12-31 00:00:00,C00499970,WRITE-IN-REED
P20003232,2012,"ADAMS, DOROTHY ANN",,Challenger,P,0.0,0.0,0.0,{C00500231},,C00500231,DOC ADAMS FOR PRESIDENT
P20003240,2012,"LANSER, JERRY",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00500322},,C00500322,JERRY LANSER FOR PRESIDENT
P20003257,2012,"BRAUN, HARRY WILLIAM III",INDEPENDENT,Challenger,P,0.0,0.0,0.0,{C00500314},,C00500314,HARRY BRAUN FOR PRESIDENT
P20003281,2012,"PERRY, JAMES R (RICK)",REPUBLICAN PARTY,Challenger,P,20593581.15,20199068.69,394512.46,{C00500587},2012-12-31 00:00:00,C00500587,PERRY FOR PRESIDENT INC
P20003299,2012,"MOATS, STEVE KENT",REPUBLICAN PARTY,Challenger,P,294.00,171.00,0.00,{C00500595},2012-09-30 00:00:00,C00500595,STEVE MOATS FOR 2012
